"","testvar","category","A","N","chisq_p"
"1","Dietary.supplement","FALSE",75,147,2.19222922791892e-13
"2","Dietary.supplement","TRUE",117,45,2.19222922791892e-13
"3","Vitamin.D..consumption.frequency.","Daily",60,21,9.01645242473256e-12
"4","Vitamin.D..consumption.frequency.","Never",111,147,9.01645242473256e-12
"5","Vitamin.D..consumption.frequency.","Occasionally",9,0,9.01645242473256e-12
"6","Vitamin.D..consumption.frequency.","Rarely",3,33,9.01645242473256e-12
"7","Vitamin.D..consumption.frequency.","Regularly",15,6,9.01645242473256e-12
"8","Vitamin.D..consumption.frequency.","Several time weekly",18,15,9.01645242473256e-12
"9","Vitamin.D..consumption.frequency.","Weekly",15,9,9.01645242473256e-12
"10","Vitamin.B.complex.supplement..consumption.frequency.","Daily",48,15,2.76636995691431e-11
"11","Vitamin.B.complex.supplement..consumption.frequency.","Never",132,180,2.76636995691431e-11
"12","Vitamin.B.complex.supplement..consumption.frequency.","Occasionally",27,3,2.76636995691431e-11
"13","Vitamin.B.complex.supplement..consumption.frequency.","Rarely",6,24,2.76636995691431e-11
"14","Vitamin.B.complex.supplement..consumption.frequency.","Regularly",9,3,2.76636995691431e-11
"15","Vitamin.B.complex.supplement..consumption.frequency.","Several times weekly",9,6,2.76636995691431e-11
"16","Fruit..consumption.frequency.","Daily",87,114,4.5319454873052e-11
"17","Fruit..consumption.frequency.","Never",27,0,4.5319454873052e-11
"18","Fruit..consumption.frequency.","Rarely",33,6,4.5319454873052e-11
"19","Fruit..consumption.frequency.","Several times weekly",63,75,4.5319454873052e-11
"20","Fruit..consumption.frequency.","Weekly",21,36,4.5319454873052e-11
"21","Probiotic..consumption.frequency.","Daily",60,21,6.04888355889759e-10
"22","Probiotic..consumption.frequency.","Never",51,117,6.04888355889759e-10
"23","Probiotic..consumption.frequency.","Occasionally",9,3,6.04888355889759e-10
"24","Probiotic..consumption.frequency.","Rarely",33,39,6.04888355889759e-10
"25","Probiotic..consumption.frequency.","Regularly",18,9,6.04888355889759e-10
"26","Probiotic..consumption.frequency.","Several times weekly",33,24,6.04888355889759e-10
"27","Probiotic..consumption.frequency.","Weekly",27,18,6.04888355889759e-10
"28","Vegetable..consumption.frequency.","Daily",66,54,2.31927695056074e-09
"29","Vegetable..consumption.frequency.","Never",24,3,2.31927695056074e-09
"30","Vegetable..consumption.frequency.","Rarely",42,15,2.31927695056074e-09
"31","Vegetable..consumption.frequency.","Several times weekly",51,96,2.31927695056074e-09
"32","Vegetable..consumption.frequency.","Weekly",48,63,2.31927695056074e-09
"33","Dairy..consumption.frequency.","Daily",57,90,1.9808701566757e-08
"34","Dairy..consumption.frequency.","Never",90,33,1.9808701566757e-08
"35","Dairy..consumption.frequency.","Rarely",24,18,1.9808701566757e-08
"36","Dairy..consumption.frequency.","Several times weekly",33,42,1.9808701566757e-08
"37","Dairy..consumption.frequency.","Weekly",27,48,1.9808701566757e-08
